location,location_type,temp_c,heat_index_c,hour_of_day,exceedance_duration,safe_duration_minutes
Riyadh King Fahd Rd,open_street,39.5,43.0,15,2,11
Riyadh King Fahd Rd,open_street,39.5,43.0,15,4,8
Riyadh King Fahd Rd,open_street,39.0,42.5,16,3,10
Riyadh King Fahd Rd,open_street,36.5,40.0,7,2,12
Riyadh King Fahd Rd,open_street,38.5,42.0,11,0,15
Riyadh King Fahd Rd,open_street,39.5,43.0,15,1,13
Riyadh King Fahd Rd,open_street,37.5,41.0,19,4,9
Riyadh King Fahd Rd,open_street,37.5,41.0,19,4,9
Riyadh King Fahd Rd,open_street,39.0,42.5,16,4,8
Riyadh King Fahd Rd,open_street,37.0,40.5,20,2,11
Riyadh King Fahd Rd,open_street,38.0,41.5,10,2,12
Riyadh King Fahd Rd,open_street,38.5,42.0,11,0,14
Riyadh King Fahd Rd,open_street,37.0,40.5,8,4,9
Riyadh King Fahd Rd,open_street,36.5,40.0,7,1,13
Riyadh King Fahd Rd,open_street,36.0,39.5,6,0,15
Riyadh King Fahd Rd,open_street,37.5,41.0,9,3,10
Riyadh King Fahd Rd,open_street,38.5,42.0,11,1,13
Riyadh King Fahd Rd,open_street,38.5,42.0,17,2,12
Riyadh King Fahd Rd,open_street,39.5,43.0,15,4,8
Riyadh King Fahd Rd,open_street,36.0,39.5,6,1,13
Riyadh King Fahd Rd,open_street,39.5,43.0,15,0,15
Riyadh King Fahd Rd,open_street,38.0,41.5,10,3,10
Riyadh King Fahd Rd,open_street,39.5,43.0,13,4,8
Riyadh King Fahd Rd,open_street,38.0,41.5,10,1,13
Riyadh King Fahd Rd,open_street,36.5,40.0,7,2,11
Riyadh King Fahd Rd,open_street,38.0,41.5,10,4,8
Riyadh King Fahd Rd,open_street,39.0,42.5,16,2,11
Riyadh King Fahd Rd,open_street,39.0,42.5,12,4,8
Sydney Centennial Park,park,35.0,38.5,9,2,12
Sydney Centennial Park,park,35.5,39.0,18,1,13
Sydney Centennial Park,park,35.5,39.0,10,2,11
Sydney Centennial Park,park,37.0,40.5,13,3,10
Sydney Centennial Park,park,36.5,40.0,12,4,9
Sydney Centennial Park,park,37.5,41.0,14,4,9
Sydney Centennial Park,park,35.5,39.0,18,2,11
Sydney Centennial Park,park,35.0,38.5,19,0,14
Sydney Centennial Park,park,37.0,40.5,13,0,15
Sydney Centennial Park,park,37.0,40.5,15,3,10
Sydney Centennial Park,park,36.0,39.5,17,3,10
Sydney Centennial Park,park,36.5,40.0,12,0,15
Sydney Centennial Park,park,34.5,38.0,8,4,8
Sydney Centennial Park,park,36.0,39.5,17,2,11
Sydney Centennial Park,park,35.0,38.5,19,0,14
Sydney Centennial Park,park,37.0,40.5,15,3,10
Sydney Centennial Park,park,36.5,40.0,12,2,12
Sydney Centennial Park,park,35.0,38.5,9,2,12
Sydney Centennial Park,park,34.0,37.5,7,4,18
Sydney Centennial Park,park,37.5,41.0,14,4,8
Sydney Centennial Park,park,35.5,39.0,18,2,11
Sydney Centennial Park,park,35.0,38.5,19,1,13
Sydney Centennial Park,park,34.5,38.0,8,2,11
Sydney Centennial Park,park,37.0,40.5,15,1,13
Sydney Centennial Park,park,36.5,40.0,16,0,14
Sydney Centennial Park,park,35.5,39.0,18,3,10
Sydney Centennial Park,park,37.0,40.5,15,4,8
Sydney Centennial Park,park,34.5,38.0,20,4,9
Sydney Centennial Park,park,37.0,40.5,15,2,12
Sydney Centennial Park,park,36.5,40.0,16,2,11
Sydney Centennial Park,park,34.0,37.5,7,3,20
Sydney Centennial Park,park,35.5,39.0,10,2,12
Sydney Centennial Park,park,36.0,39.5,11,4,8
Sydney Centennial Park,park,37.0,40.5,13,3,10
Sydney Centennial Park,park,36.0,39.5,11,2,11
Sydney Centennial Park,park,35.0,38.5,19,0,15
Sydney Centennial Park,park,37.5,41.0,14,3,10
Sydney Centennial Park,park,37.5,41.0,14,0,14
Sydney Centennial Park,park,35.5,39.0,18,4,9
Sydney Centennial Park,park,36.0,39.5,11,4,8
Sydney Centennial Park,park,34.5,38.0,8,0,14
Sydney Centennial Park,park,35.5,39.0,18,2,12
Sydney Centennial Park,park,34.0,37.5,7,4,18
Sydney Centennial Park,park,33.5,37.0,6,1,27
Sydney Centennial Park,park,37.0,40.5,13,4,9
Sydney Centennial Park,park,34.5,38.0,8,2,11
Sydney Centennial Park,park,35.5,39.0,10,3,10
Sydney Centennial Park,park,36.0,39.5,11,4,8
Sydney Centennial Park,park,36.5,40.0,16,2,11
Sydney Centennial Park,park,34.0,37.5,7,4,18
Sydney Centennial Park,park,35.5,39.0,10,2,12
Sydney Centennial Park,park,36.5,40.0,16,4,9
Sydney Centennial Park,park,36.0,39.5,11,0,15
Sydney Centennial Park,park,34.5,38.0,8,2,11
Sydney Centennial Park,park,36.5,40.0,16,3,10
Sydney Centennial Park,park,36.0,39.5,17,0,14
Sydney Centennial Park,park,36.5,40.0,12,2,12
Sydney Centennial Park,park,36.5,40.0,16,4,8
Sydney Centennial Park,park,36.5,40.0,16,3,10
Sydney Centennial Park,park,33.5,37.0,6,2,23
Sydney Centennial Park,park,35.0,38.5,9,2,12
Sydney Centennial Park,park,37.0,40.5,13,1,13
Sydney Centennial Park,park,34.5,38.0,8,1,12
Sydney Centennial Park,park,35.0,38.5,19,0,15
Sydney Centennial Park,park,37.5,41.0,14,4,8
Sydney Centennial Park,park,36.0,39.5,11,4,8
Sydney Centennial Park,park,36.5,40.0,12,1,13
Sydney Centennial Park,park,35.0,38.5,19,4,9
Sydney Centennial Park,park,34.5,38.0,8,3,10
Sydney Centennial Park,park,36.0,39.5,11,1,14
Sydney Centennial Park,park,37.0,40.5,15,2,12
Sydney Centennial Park,park,35.5,39.0,18,3,10
Sydney Centennial Park,park,35.0,38.5,9,2,12
Sydney Centennial Park,park,35.5,39.0,18,3,10
Sydney Centennial Park,park,35.0,38.5,9,2,12
Sydney Centennial Park,park,37.0,40.5,15,3,10
Sydney Centennial Park,park,35.5,39.0,10,3,10
Sydney Centennial Park,park,36.5,40.0,12,1,13
Sydney Centennial Park,park,35.5,39.0,18,4,8
Sydney Centennial Park,park,35.5,39.0,10,0,15
Sydney Centennial Park,park,35.0,38.5,19,2,12
Sydney Centennial Park,park,34.0,37.5,7,4,18
Sydney Centennial Park,park,35.5,39.0,10,0,15
Sydney Centennial Park,park,35.5,39.0,10,3,10
Sydney Centennial Park,park,34.5,38.0,8,3,10
Sydney Centennial Park,park,34.5,38.0,20,1,13
Sydney Centennial Park,park,34.5,38.0,20,2,12
Sydney Centennial Park,park,36.5,40.0,12,0,14
Sydney Centennial Park,park,36.0,39.5,11,1,13
Sydney Centennial Park,park,34.0,37.5,7,2,23
Sydney Centennial Park,park,36.0,39.5,11,0,15
Sydney Centennial Park,park,36.5,40.0,16,2,12
Sydney Centennial Park,park,34.5,38.0,8,0,14
Sydney Centennial Park,park,35.0,38.5,19,3,10
Sydney Centennial Park,park,34.5,38.0,8,3,10
Sydney Centennial Park,park,33.5,37.0,6,0,28
Sydney Centennial Park,park,35.0,38.5,9,1,13
Sydney Centennial Park,park,36.0,39.5,17,4,9
Sydney Centennial Park,park,34.0,37.5,7,2,23
Sydney Centennial Park,park,34.0,37.5,7,0,29
New Delhi Connaught Place,open_street,39.0,42.5,16,4,8
New Delhi Connaught Place,open_street,36.5,40.0,7,3,10
New Delhi Connaught Place,open_street,36.0,39.5,6,4,9
New Delhi Connaught Place,open_street,38.5,42.0,17,1,13
New Delhi Connaught Place,open_street,36.0,39.5,6,4,8
New Delhi Connaught Place,open_street,39.5,43.0,15,3,10
New Delhi Connaught Place,open_street,39.0,42.5,16,0,15
New Delhi Connaught Place,open_street,38.5,42.0,11,0,15
New Delhi Connaught Place,open_street,40.0,43.5,14,4,9
New Delhi Connaught Place,open_street,40.0,43.5,14,4,8
New Delhi Connaught Place,open_street,37.5,41.0,19,3,10
New Delhi Connaught Place,open_street,39.0,42.5,12,2,11
New Delhi Connaught Place,open_street,36.0,39.5,6,2,12
New Delhi Connaught Place,open_street,38.5,42.0,11,1,13
New Delhi Connaught Place,open_street,39.0,42.5,16,0,15
New Delhi Connaught Place,open_street,38.5,42.0,17,2,11
New Delhi Connaught Place,open_street,38.5,42.0,11,4,8
New Delhi Connaught Place,open_street,39.0,42.5,16,1,13
New Delhi Connaught Place,open_street,39.0,42.5,16,3,11
New Delhi Connaught Place,open_street,39.5,43.0,13,1,13
New Delhi Connaught Place,open_street,36.5,40.0,7,3,10
New Delhi Connaught Place,open_street,37.5,41.0,9,0,15
New Delhi Connaught Place,open_street,37.0,40.5,20,0,14
New Delhi Connaught Place,open_street,38.0,41.5,10,4,8
New Delhi Connaught Place,open_street,37.5,41.0,19,4,8
New Delhi Connaught Place,open_street,36.0,39.5,6,1,13
New Delhi Connaught Place,open_street,37.5,41.0,19,0,15
New Delhi Connaught Place,open_street,38.5,42.0,11,2,11
New Delhi Connaught Place,open_street,38.5,42.0,11,3,10
New Delhi Connaught Place,open_street,38.5,42.0,17,3,10
New Delhi Connaught Place,open_street,39.0,42.5,12,2,12
New Delhi Connaught Place,open_street,39.5,43.0,13,3,10
New Delhi Connaught Place,open_street,38.0,41.5,18,4,8
New Delhi Connaught Place,open_street,36.5,40.0,7,3,10
New Delhi Connaught Place,open_street,39.5,43.0,15,1,13
New Delhi Connaught Place,open_street,38.5,42.0,11,0,14
New Delhi Connaught Place,open_street,39.0,42.5,16,2,11
New Delhi Connaught Place,open_street,39.5,43.0,15,3,10
New Delhi Connaught Place,open_street,39.5,43.0,13,2,11
New Delhi Connaught Place,open_street,38.5,42.0,17,2,12
New Delhi Connaught Place,open_street,39.0,42.5,12,2,12
New Delhi Connaught Place,open_street,38.0,41.5,18,0,14
New Delhi Connaught Place,open_street,39.0,42.5,16,3,10
New Delhi Connaught Place,open_street,38.0,41.5,18,1,14
New Delhi Connaught Place,open_street,37.0,40.5,8,4,9
New Delhi Connaught Place,open_street,39.5,43.0,13,0,14
New Delhi Connaught Place,open_street,37.5,41.0,9,2,11
New Delhi Connaught Place,open_street,39.5,43.0,15,0,15
New Delhi Connaught Place,open_street,39.0,42.5,16,3,10
New Delhi Connaught Place,open_street,38.5,42.0,11,3,10
New Delhi Connaught Place,open_street,39.5,43.0,15,1,13
New Delhi Connaught Place,open_street,39.0,42.5,12,2,12
New Delhi Connaught Place,open_street,37.5,41.0,9,0,14
New Delhi Connaught Place,open_street,37.0,40.5,8,3,10
New Delhi Connaught Place,open_street,37.0,40.5,20,4,8
New Delhi Connaught Place,open_street,38.0,41.5,18,2,12
New Delhi Connaught Place,open_street,37.5,41.0,9,4,8
New Delhi Connaught Place,open_street,37.0,40.5,20,3,10
New Delhi Connaught Place,open_street,37.0,40.5,8,0,14
New Delhi Connaught Place,open_street,37.0,40.5,20,3,11
New Delhi Connaught Place,open_street,38.0,41.5,18,2,12
New Delhi Connaught Place,open_street,38.5,42.0,17,0,15
New Delhi Connaught Place,open_street,38.0,41.5,10,2,12
New Delhi Connaught Place,open_street,38.5,42.0,17,1,13
New Delhi Connaught Place,open_street,40.0,43.5,14,1,12
New Delhi Connaught Place,open_street,37.5,41.0,9,1,13
New Delhi Connaught Place,open_street,39.5,43.0,13,0,14
New Delhi Connaught Place,open_street,39.5,43.0,15,2,11
New Delhi Connaught Place,open_street,40.0,43.5,14,1,13
New Delhi Connaught Place,open_street,36.5,40.0,7,0,14
New Delhi Connaught Place,open_street,38.5,42.0,17,3,10
New Delhi Connaught Place,open_street,38.0,41.5,18,3,10
New Delhi Connaught Place,open_street,36.5,40.0,7,1,14
New Delhi Connaught Place,open_street,39.0,42.5,16,0,14
New Delhi Connaught Place,open_street,39.0,42.5,16,4,8
New Delhi Connaught Place,open_street,37.0,40.5,20,4,9
New Delhi Connaught Place,open_street,37.0,40.5,8,1,13
New Delhi Connaught Place,open_street,37.0,40.5,20,0,15
New Delhi Connaught Place,open_street,40.0,43.5,14,1,13
New Delhi Connaught Place,open_street,37.0,40.5,8,2,12
New Delhi Connaught Place,open_street,37.5,41.0,9,2,12
New Delhi Connaught Place,open_street,40.0,43.5,14,2,12
New Delhi Connaught Place,open_street,38.0,41.5,10,1,13
New Delhi Connaught Place,open_street,40.0,43.5,14,2,11
New Delhi Connaught Place,open_street,38.0,41.5,10,4,9
New Delhi Connaught Place,open_street,40.0,43.5,14,1,13
New Delhi Connaught Place,open_street,39.5,43.0,15,1,13
New Delhi Connaught Place,open_street,39.5,43.0,15,4,8
New Delhi Connaught Place,open_street,37.0,40.5,20,4,8
New Delhi Connaught Place,open_street,37.5,41.0,19,0,14
New Delhi Connaught Place,open_street,39.0,42.5,16,4,8
New Delhi Connaught Place,open_street,37.5,41.0,9,4,8
New Delhi Connaught Place,open_street,39.0,42.5,16,0,14
New Delhi Connaught Place,open_street,39.0,42.5,16,4,8
New Delhi Connaught Place,open_street,38.0,41.5,10,3,10
New Delhi Connaught Place,open_street,38.0,41.5,18,3,10
New Delhi Connaught Place,open_street,36.5,40.0,7,0,14
New Delhi Connaught Place,open_street,39.0,42.5,12,3,10
New Delhi Connaught Place,open_street,38.5,42.0,11,4,8
New Delhi Connaught Place,open_street,37.5,41.0,19,2,12
Las Vegas Strip,open_street,37.5,41.0,19,2,12
Las Vegas Strip,open_street,37.0,40.5,8,2,12
Las Vegas Strip,open_street,36.5,40.0,7,2,11
Las Vegas Strip,open_street,36.5,40.0,7,2,11
Las Vegas Strip,open_street,37.0,40.5,8,0,14
Las Vegas Strip,open_street,39.0,42.5,12,4,8
Las Vegas Strip,open_street,37.5,41.0,19,1,13
Las Vegas Strip,open_street,37.0,40.5,20,4,9
Las Vegas Strip,open_street,37.5,41.0,9,1,13
Las Vegas Strip,open_street,40.0,43.5,14,3,10
Las Vegas Strip,open_street,38.0,41.5,10,3,9
Las Vegas Strip,open_street,39.0,42.5,12,4,8
Las Vegas Strip,open_street,37.5,41.0,9,1,13
Las Vegas Strip,open_street,36.0,39.5,6,0,14
Las Vegas Strip,open_street,39.5,43.0,15,3,10
Las Vegas Strip,open_street,36.0,39.5,6,0,14
Las Vegas Strip,open_street,37.0,40.5,20,2,12
Las Vegas Strip,open_street,38.0,41.5,18,3,10
Las Vegas Strip,open_street,39.0,42.5,12,0,15
Las Vegas Strip,open_street,37.5,41.0,9,2,12
Las Vegas Strip,open_street,36.5,40.0,7,3,10
Las Vegas Strip,open_street,38.0,41.5,18,4,8
Las Vegas Strip,open_street,39.5,43.0,15,4,8
Las Vegas Strip,open_street,36.5,40.0,7,3,10
Las Vegas Strip,open_street,38.5,42.0,11,4,9
Las Vegas Strip,open_street,38.0,41.5,18,1,13
Las Vegas Strip,open_street,40.0,43.5,14,3,10
Las Vegas Strip,open_street,36.0,39.5,6,0,14
Las Vegas Strip,open_street,38.5,42.0,11,3,10
Las Vegas Strip,open_street,37.0,40.5,8,4,9
Las Vegas Strip,open_street,37.0,40.5,8,2,12
Las Vegas Strip,open_street,38.5,42.0,11,1,13
Las Vegas Strip,open_street,39.5,43.0,15,2,12
Las Vegas Strip,open_street,40.0,43.5,14,4,9
Las Vegas Strip,open_street,38.5,42.0,17,4,8
Las Vegas Strip,open_street,37.5,41.0,19,0,14
Las Vegas Strip,open_street,39.0,42.5,16,0,15
Las Vegas Strip,open_street,39.5,43.0,15,2,12
Las Vegas Strip,open_street,38.5,42.0,17,0,15
Las Vegas Strip,open_street,38.0,41.5,10,4,9
Las Vegas Strip,open_street,38.5,42.0,17,0,15
Las Vegas Strip,open_street,37.0,40.5,8,4,9
Las Vegas Strip,open_street,39.5,43.0,15,3,10
Las Vegas Strip,open_street,39.0,42.5,16,1,12
Las Vegas Strip,open_street,38.5,42.0,17,0,14
Las Vegas Strip,open_street,39.5,43.0,13,2,11
Las Vegas Strip,open_street,39.0,42.5,12,1,13
Las Vegas Strip,open_street,38.0,41.5,18,4,9
Las Vegas Strip,open_street,37.5,41.0,19,0,15
Las Vegas Strip,open_street,40.0,43.5,14,1,13
Las Vegas Strip,open_street,39.0,42.5,16,3,10
Las Vegas Strip,open_street,38.5,42.0,11,1,13
Las Vegas Strip,open_street,40.0,43.5,14,2,12
Las Vegas Strip,open_street,39.0,42.5,16,2,12
Las Vegas Strip,open_street,37.5,41.0,9,1,13
Las Vegas Strip,open_street,38.0,41.5,10,1,14
Las Vegas Strip,open_street,38.0,41.5,10,2,12
Las Vegas Strip,open_street,38.5,42.0,17,3,10
Las Vegas Strip,open_street,38.5,42.0,11,4,9
Las Vegas Strip,open_street,38.0,41.5,18,2,11
Las Vegas Strip,open_street,39.5,43.0,15,4,8
Las Vegas Strip,open_street,39.0,42.5,12,2,12
Las Vegas Strip,open_street,38.0,41.5,18,1,13
Las Vegas Strip,open_street,38.0,41.5,10,0,14
Las Vegas Strip,open_street,39.5,43.0,13,2,12
Las Vegas Strip,open_street,37.5,41.0,9,1,13
Las Vegas Strip,open_street,38.0,41.5,10,4,9
Las Vegas Strip,open_street,37.0,40.5,8,0,15
Las Vegas Strip,open_street,39.5,43.0,15,1,13
Las Vegas Strip,open_street,39.0,42.5,16,4,8
Las Vegas Strip,open_street,37.5,41.0,9,0,14
Las Vegas Strip,open_street,38.5,42.0,11,3,10
Las Vegas Strip,open_street,38.0,41.5,18,1,12
Las Vegas Strip,open_street,40.0,43.5,14,1,13
Las Vegas Strip,open_street,37.0,40.5,20,3,10
Las Vegas Strip,open_street,37.5,41.0,9,2,11
Las Vegas Strip,open_street,39.0,42.5,16,0,15
Las Vegas Strip,open_street,36.5,40.0,7,4,8
Las Vegas Strip,open_street,38.5,42.0,17,0,15
Las Vegas Strip,open_street,37.0,40.5,8,3,10
Las Vegas Strip,open_street,37.0,40.5,8,0,15
Las Vegas Strip,open_street,39.0,42.5,12,3,10
Las Vegas Strip,open_street,38.5,42.0,17,2,12
Las Vegas Strip,open_street,36.0,39.5,6,2,12
Las Vegas Strip,open_street,36.5,40.0,7,2,11
Las Vegas Strip,open_street,39.0,42.5,16,4,9
Las Vegas Strip,open_street,37.0,40.5,20,1,13
Las Vegas Strip,open_street,39.5,43.0,13,2,11
Las Vegas Strip,open_street,36.5,40.0,7,2,11
Las Vegas Strip,open_street,39.5,43.0,13,2,12
Las Vegas Strip,open_street,36.0,39.5,6,2,12
Las Vegas Strip,open_street,39.5,43.0,15,1,13
Las Vegas Strip,open_street,37.5,41.0,19,3,10
Las Vegas Strip,open_street,40.0,43.5,14,2,11
Las Vegas Strip,open_street,39.0,42.5,16,0,14
Las Vegas Strip,open_street,37.0,40.5,8,3,10
Las Vegas Strip,open_street,37.5,41.0,9,0,14
Las Vegas Strip,open_street,37.5,41.0,9,3,10
Las Vegas Strip,open_street,38.5,42.0,11,2,12
Las Vegas Strip,open_street,39.5,43.0,15,0,14
Austin Zilker Park,park,36.0,39.5,11,1,12
Austin Zilker Park,park,34.0,37.5,7,3,20
Austin Zilker Park,park,36.5,40.0,12,4,9
Austin Zilker Park,park,34.5,38.0,20,2,12
Austin Zilker Park,park,36.5,40.0,16,2,11
Austin Zilker Park,park,35.0,38.5,9,1,14
Austin Zilker Park,park,37.0,40.5,13,1,13
Austin Zilker Park,park,37.0,40.5,15,2,11
Austin Zilker Park,park,37.5,41.0,14,3,10
Austin Zilker Park,park,35.5,39.0,18,1,13
Austin Zilker Park,park,36.5,40.0,16,4,9
Austin Zilker Park,park,34.0,37.5,7,4,17
Austin Zilker Park,park,36.0,39.5,17,2,11
Austin Zilker Park,park,37.0,40.5,15,0,14
Austin Zilker Park,park,37.5,41.0,14,4,8
Austin Zilker Park,park,37.5,41.0,14,1,13
Austin Zilker Park,park,35.0,38.5,19,4,8
Austin Zilker Park,park,36.5,40.0,16,1,13
Austin Zilker Park,park,37.0,40.5,13,0,15
Austin Zilker Park,park,37.0,40.5,13,0,14
Austin Zilker Park,park,37.5,41.0,14,3,10
Austin Zilker Park,park,33.5,37.0,6,4,17
Austin Zilker Park,park,35.5,39.0,18,2,12
Austin Zilker Park,park,36.5,40.0,12,2,12
Austin Zilker Park,park,36.0,39.5,17,1,13
Austin Zilker Park,park,33.5,37.0,6,3,20
Austin Zilker Park,park,34.0,37.5,7,4,18
Austin Zilker Park,park,34.5,38.0,20,0,15
Austin Zilker Park,park,37.0,40.5,13,0,14
Austin Zilker Park,park,34.5,38.0,8,1,13
Austin Zilker Park,park,36.0,39.5,17,3,10
Austin Zilker Park,park,34.5,38.0,20,3,10
Austin Zilker Park,park,34.5,38.0,20,3,10
Austin Zilker Park,park,36.5,40.0,16,4,8
Austin Zilker Park,park,35.0,38.5,19,2,11
Austin Zilker Park,park,37.5,41.0,14,3,10
Austin Zilker Park,park,36.0,39.5,17,1,13
Austin Zilker Park,park,35.5,39.0,18,0,15
Austin Zilker Park,park,37.0,40.5,13,4,8
Austin Zilker Park,park,36.5,40.0,12,1,13
Austin Zilker Park,park,36.0,39.5,11,1,13
Austin Zilker Park,park,34.5,38.0,20,0,14
Austin Zilker Park,park,36.5,40.0,16,3,10
Austin Zilker Park,park,34.5,38.0,20,0,14
Austin Zilker Park,park,34.0,37.5,7,0,30
Austin Zilker Park,park,37.0,40.5,13,4,9
Austin Zilker Park,park,35.0,38.5,19,0,14
Austin Zilker Park,park,33.5,37.0,6,3,20
Austin Zilker Park,park,37.5,41.0,14,1,13
Austin Zilker Park,park,35.5,39.0,18,0,14
Austin Zilker Park,park,35.5,39.0,10,1,13
Austin Zilker Park,park,36.0,39.5,17,4,8
Austin Zilker Park,park,37.0,40.5,15,2,11
Austin Zilker Park,park,34.5,38.0,20,1,14
Austin Zilker Park,park,37.5,41.0,14,1,13
Austin Zilker Park,park,35.5,39.0,10,0,15
Austin Zilker Park,park,37.0,40.5,15,1,13
Austin Zilker Park,park,36.5,40.0,12,4,8
Austin Zilker Park,park,36.0,39.5,11,3,10
Austin Zilker Park,park,36.0,39.5,11,3,10
Austin Zilker Park,park,35.5,39.0,10,3,10
Austin Zilker Park,park,37.5,41.0,14,3,10
Austin Zilker Park,park,35.0,38.5,9,2,12
Austin Zilker Park,park,34.5,38.0,8,3,10
Austin Zilker Park,park,37.5,41.0,14,3,10
Austin Zilker Park,park,37.5,41.0,14,4,8
Austin Zilker Park,park,35.0,38.5,9,2,11
Austin Zilker Park,park,36.5,40.0,16,0,15
Austin Zilker Park,park,35.0,38.5,19,2,11
Austin Zilker Park,park,36.0,39.5,17,1,12
Austin Zilker Park,park,36.5,40.0,12,4,9
Austin Zilker Park,park,35.0,38.5,19,0,14
Austin Zilker Park,park,35.5,39.0,18,4,9
Austin Zilker Park,park,37.5,41.0,14,1,13
Austin Zilker Park,park,35.0,38.5,19,2,11
Austin Zilker Park,park,34.5,38.0,20,0,14
Austin Zilker Park,park,35.0,38.5,9,0,15
Austin Zilker Park,park,35.5,39.0,18,3,10
Austin Zilker Park,park,36.0,39.5,17,4,9
Austin Zilker Park,park,36.5,40.0,12,1,13
Austin Zilker Park,park,35.5,39.0,18,2,11
Austin Zilker Park,park,37.5,41.0,14,2,11
Austin Zilker Park,park,36.0,39.5,11,4,9
Austin Zilker Park,park,37.0,40.5,13,0,15
Austin Zilker Park,park,36.0,39.5,17,3,10
Austin Zilker Park,park,36.0,39.5,11,1,13
Austin Zilker Park,park,36.5,40.0,12,0,15
Austin Zilker Park,park,35.0,38.5,9,1,12
Austin Zilker Park,park,37.5,41.0,14,4,9
Austin Zilker Park,park,36.5,40.0,12,2,11
Austin Zilker Park,park,36.0,39.5,11,1,13
Austin Zilker Park,park,35.0,38.5,19,1,13
Austin Zilker Park,park,36.5,40.0,16,2,11
Austin Zilker Park,park,35.0,38.5,19,3,10
Austin Zilker Park,park,36.5,40.0,16,3,10
Austin Zilker Park,park,36.0,39.5,17,2,11
Austin Zilker Park,park,36.0,39.5,17,4,8
Austin Zilker Park,park,34.5,38.0,20,4,9
Austin Zilker Park,park,33.5,37.0,6,4,17
Austin Zilker Park,park,35.0,38.5,19,0,15
Madrid Central Bus Station,bus_stop,38.0,41.5,16,0,15
Madrid Central Bus Station,bus_stop,38.0,41.5,12,1,13
Madrid Central Bus Station,bus_stop,36.5,40.0,9,0,15
Madrid Central Bus Station,bus_stop,35.0,38.5,6,1,13
Madrid Central Bus Station,bus_stop,37.5,41.0,11,0,15
Madrid Central Bus Station,bus_stop,38.0,41.5,16,4,9
Madrid Central Bus Station,bus_stop,38.0,41.5,16,3,9
Madrid Central Bus Station,bus_stop,39.0,42.5,14,4,8
Madrid Central Bus Station,bus_stop,35.0,38.5,6,4,9
Madrid Central Bus Station,bus_stop,39.0,42.5,14,2,11
Madrid Central Bus Station,bus_stop,36.5,40.0,19,3,10
Madrid Central Bus Station,bus_stop,36.0,39.5,20,1,12
Madrid Central Bus Station,bus_stop,35.5,39.0,7,4,8
Madrid Central Bus Station,bus_stop,36.5,40.0,9,4,9
Madrid Central Bus Station,bus_stop,36.5,40.0,19,2,11
Madrid Central Bus Station,bus_stop,38.0,41.5,12,0,14
Madrid Central Bus Station,bus_stop,38.0,41.5,12,3,10
Madrid Central Bus Station,bus_stop,37.5,41.0,17,1,13
Madrid Central Bus Station,bus_stop,36.5,40.0,19,0,15
Madrid Central Bus Station,bus_stop,36.5,40.0,19,0,14
Madrid Central Bus Station,bus_stop,38.0,41.5,12,3,10
Madrid Central Bus Station,bus_stop,35.0,38.5,6,0,15
Madrid Central Bus Station,bus_stop,35.5,39.0,7,3,10
Madrid Central Bus Station,bus_stop,38.0,41.5,16,2,12
Madrid Central Bus Station,bus_stop,36.5,40.0,19,0,15
Madrid Central Bus Station,bus_stop,36.0,39.5,20,0,14
Madrid Central Bus Station,bus_stop,36.0,39.5,20,4,8
Madrid Central Bus Station,bus_stop,35.0,38.5,6,0,15
Madrid Central Bus Station,bus_stop,37.0,40.5,10,4,9
Madrid Central Bus Station,bus_stop,35.0,38.5,6,1,14
Madrid Central Bus Station,bus_stop,37.5,41.0,11,0,15
Madrid Central Bus Station,bus_stop,38.5,42.0,15,1,13
Madrid Central Bus Station,bus_stop,37.5,41.0,17,3,10
Madrid Central Bus Station,bus_stop,37.0,40.5,10,1,13
Madrid Central Bus Station,bus_stop,38.5,42.0,15,3,10
Madrid Central Bus Station,bus_stop,39.0,42.5,14,2,11
Madrid Central Bus Station,bus_stop,37.5,41.0,17,1,13
Madrid Central Bus Station,bus_stop,37.5,41.0,17,0,15
Madrid Central Bus Station,bus_stop,37.5,41.0,11,0,14
Madrid Central Bus Station,bus_stop,36.5,40.0,9,0,14
Madrid Central Bus Station,bus_stop,37.0,40.5,18,4,9
Madrid Central Bus Station,bus_stop,38.0,41.5,12,2,11
Madrid Central Bus Station,bus_stop,37.0,40.5,10,3,10
Madrid Central Bus Station,bus_stop,37.5,41.0,11,4,9
Madrid Central Bus Station,bus_stop,38.0,41.5,12,1,13
Madrid Central Bus Station,bus_stop,38.0,41.5,16,3,10
Madrid Central Bus Station,bus_stop,38.5,42.0,15,2,12
Madrid Central Bus Station,bus_stop,37.5,41.0,17,0,14
Madrid Central Bus Station,bus_stop,36.0,39.5,8,3,10
Madrid Central Bus Station,bus_stop,38.0,41.5,16,1,13
Madrid Central Bus Station,bus_stop,37.5,41.0,11,2,11
Madrid Central Bus Station,bus_stop,35.0,38.5,6,2,11
Madrid Central Bus Station,bus_stop,37.0,40.5,18,2,11
Madrid Central Bus Station,bus_stop,35.5,39.0,7,1,13
Madrid Central Bus Station,bus_stop,39.0,42.5,14,4,9
Madrid Central Bus Station,bus_stop,35.5,39.0,7,0,14
Madrid Central Bus Station,bus_stop,39.0,42.5,14,0,15
Madrid Central Bus Station,bus_stop,37.0,40.5,18,2,12
Madrid Central Bus Station,bus_stop,35.0,38.5,6,2,11
Madrid Central Bus Station,bus_stop,37.0,40.5,18,0,15
Madrid Central Bus Station,bus_stop,39.0,42.5,14,1,13
